Command	ERA
2.397058824	4.77
1.649350649	6.048
2.139534884	4.787234043
3.357142857	3.446808511
1.948275862	5.76459854
0.924050633	6.260869565
5.058823529	4.026768642
2.042553191	5.090692124
2.5125	3.139534884
2.461538462	4.05
1.681818182	4.689713322
2.694444444	5.932394366
2.692307692	3.786585366
2.686046512	4.06626506
1.26	6.038560411
2.270833333	4.183783784
2.411764706	4.6
1.055555556	5.25
2.043956044	3.762633997
2.815789474	3.913865546
0.828571429	5.444751381
3.025641026	2.601328904
2	4.537190083
2	3.960567823
1.404255319	6.054545455
2.323529412	4.810344828
2.789473684	3.323076923
1.651162791	4.061946903
1.75	4.315068493
2.064516129	4.915384615
2.460526316	2.961290323
1.137254902	5.207715134
2.794117647	2.541176471
1.85106383	4.816216216
1.295454545	5.803738318
1.532467532	4.339285714
1.321428571	5.292951542
2.071428571	3.838449111
1.918367347	5.011600928
2.06557377	3.72761194
1.775862069	5.150289017
1.525423729	4.896610169
2.169491525	3.703971119
0.957142857	6.664556962
3.267857143	3.469522241
2.068965517	3.634615385
5.282051282	2.780487805
3.698113208	3.08797654
3.06	4.784810127
2.967213115	2.067567568
5.15	3.333333333
1.6875	5.453865337
2.1875	3.453488372
1.558139535	6.05
1.531914894	5.511627907
2.125	3.169014085
1.402597403	4.418181818
1.669902913	3.986577181
3.931818182	3.913043478
1.985714286	3.679646018
2.371428571	3.485776805
1.192982456	5.492505353
1.923076923	4.263157895
2.761904762	3.730909091
3.25	3.746938776
1.625	3.906593407
5	2.53880597
2.303030303	3.209191759
2.875	4.089576547
3.154761905	2.616740088
2.538461538	3.579545455
2.428571429	3.78
2.4	4.16080402
3.266666667	3.241706161
3.266666667	4.221649485
2.206349206	3.707592892
1.820895522	4.178571429
2.46	3.389867841
1.3	4.526946108
1.977272727	5.614678899
1.638297872	2.89860835
1.581818182	4.015822785
2.236842105	4.365269461
2.506849315	3.979397781
1.589285714	5.869565217
2.551020408	5.06916996
1.347826087	4.271186441
2.277777778	4.56
1.983870968	3.713073005
4.838709677	3.369384359
2.507692308	4.547368421
4.428571429	3.518053375
1.637681159	4.195041322
1.338709677	6.648241206
3.510638298	3.536741214
2.12195122	5.933121019
1.953846154	4.736842105
1.96	4.391566265
2.813559322	2.850287908
1.71875	3.722591362
2.163636364	4.340292276
1.714285714	4.221649485
1.897435897	4.410596026
2.872727273	4.544117647
2.314285714	5.14573991
1.208333333	5.041769042
1.717948718	5.4
1.846153846	4.945054945
1.5	5.814159292
1.741935484	6.349802372
2.977272727	3.538834951
1.154929577	5.700575816
1.604166667	3.422535211
4.254237288	2.703557312
2.652173913	4.21875
2.093333333	5.012658228
4.553191489	3.493150685
3.26984127	2.53485064
1.943396226	3.409090909
3.361702128	3.085714286
4	3.558139535
2.15625	6.456521739
5.125	3.985446985
1.275862069	4.161120841
1.516853933	5.421906694
3.351351351	4.375862069
1.641025641	5.578512397
1.343283582	4.96435272
3.278688525	4.6656
1.873563218	4.835820896
3.1	4.070769231
2.215053763	3.214285714
2.676470588	3.204545455
1.95	4.127071823
1.74	4.685466377
2.814814815	4.330188679
2.815384615	3.295588235
2.161290323	3.709565217
2.281690141	4.302977233
1.9375	3.957654723
1.805555556	3.911660777
1.176470588	5.15
